FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.8875,8875,K-64,KORPPAANMÄENTIE,,Katu,PILARITERVALEPPÄ,Alnus,glutinosa,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.891919522535442 60.20575589555073)
Puurekisteri_piste.8878,8878,K-9245,MÄKELÄNKATU,,Katu,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.944088437404794 60.211712469199774)
Puurekisteri_piste.8881,8881,K-5390,PITKÄNSILLANRANTA,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947544110220928 60.177287600775564)
Puurekisteri_piste.8882,8882,K-5391,PITKÄNSILLANRANTA,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947670751306763 60.17726163629245)
Puurekisteri_piste.8883,8883,K-5392,PITKÄNSILLANRANTA,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947813070791053 60.177239886879995)
Puurekisteri_piste.8885,8885,K-5394,PITKÄNSILLANRANTA,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.948095007299543 60.177197195933985)
Puurekisteri_piste.8042,8042,P-33016-128,,KAISANIEMENPUISTO,Puisto,AITAORAPIHLAJA,Crataegus,grayana,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.944308451459804 60.174294325298945)
Puurekisteri_piste.8043,8043,P-33016-129,,KAISANIEMENPUISTO,Puisto,AITAORAPIHLAJA,Crataegus,grayana,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94428361468777 60.17432406409304)
Puurekisteri_piste.8044,8044,P-34019-174,,ALPPIPUISTO (ETELÄ),Puisto,TUOKSUPOPPELI,Populus,suaveolens,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.939551067285233 60.187028183599416)
Puurekisteri_piste.8045,8045,P-34019-175,,ALPPIPUISTO (ETELÄ),Puisto,TUOKSUPOPPELI,Populus,suaveolens,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93952957506126 60.1870405456682)
